epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.797,1.42863,6.02129,1.24169,0.73786,0.01703,0.01117,0.00692,1.43382,4.66016,1.33807,0.00333015,0.00333015,0.00333015
2,692.65,1.50747,4.87701,1.30979,0.66528,0.04399,0.02291,0.01428,1.54939,4.91316,1.47844,0.00659751,0.00659751,0.00659751
3,1028.16,1.58968,4.48188,1.38011,0.5451,0.04742,0.03394,0.02033,1.59449,4.32906,1.4987,0.00979888,0.00979888,0.00979888
4,1364.01,1.61765,4.25514,1.40954,0.46691,0.05991,0.05051,0.03081,1.53463,4.27641,1.48192,0.009703,0.009703,0.009703
5,1698.98,1.54909,3.74914,1.37468,0.50776,0.08432,0.08606,0.05324,1.4689,3.8989,1.38958,0.009604,0.009604,0.009604
6,2035.24,1.49551,3.35595,1.35211,0.55202,0.09935,0.1096,0.07,1.4311,3.67291,1.37242,0.009505,0.009505,0.009505
7,2370.95,1.47935,3.02268,1.3381,0.49358,0.11987,0.1263,0.08062,1.38121,3.59654,1.36873,0.009406,0.009406,0.009406
8,2706.64,1.44315,2.75864,1.32004,0.5542,0.12089,0.14002,0.09078,1.37613,3.47301,1.36331,0.009307,0.009307,0.009307
9,3040.88,1.41669,2.60637,1.30292,0.53189,0.13433,0.15293,0.09905,1.35786,3.48166,1.3718,0.009208,0.009208,0.009208
10,3375.4,1.39954,2.48846,1.29048,0.52145,0.15794,0.17358,0.11028,1.32315,3.32138,1.32028,0.009109,0.009109,0.009109
11,3710.37,1.38714,2.38356,1.27666,0.57203,0.14536,0.18227,0.11806,1.31656,3.29896,1.30496,0.00901,0.00901,0.00901
12,4045.27,1.37365,2.32548,1.26683,0.54523,0.17607,0.19714,0.1285,1.30111,3.20889,1.31554,0.008911,0.008911,0.008911
13,4380.15,1.34521,2.21874,1.24841,0.53333,0.18712,0.21723,0.14105,1.30858,3.15467,1.308,0.008812,0.008812,0.008812
14,4714.8,1.34392,2.19999,1.25156,0.49694,0.21895,0.23238,0.15261,1.28523,3.08324,1.29879,0.008713,0.008713,0.008713
15,5049.85,1.33051,2.11298,1.23749,0.55319,0.20245,0.2377,0.15865,1.25618,3.00831,1.27038,0.008614,0.008614,0.008614
16,5384.34,1.31422,2.07272,1.22337,0.54895,0.20681,0.24867,0.16528,1.26169,2.97672,1.27245,0.008515,0.008515,0.008515
17,5718.67,1.3058,2.02957,1.22206,0.52483,0.25036,0.26632,0.17942,1.24827,2.94307,1.26009,0.008416,0.008416,0.008416
18,6053.36,1.29672,1.99672,1.21102,0.57448,0.22367,0.26476,0.17678,1.24306,2.8986,1.25657,0.008317,0.008317,0.008317
19,6388.18,1.2891,1.94108,1.2017,0.55042,0.25702,0.28368,0.19148,1.22994,2.87092,1.2439,0.008218,0.008218,0.008218
20,6723.42,1.28214,1.91614,1.19552,0.52197,0.25879,0.28866,0.19511,1.22916,2.83663,1.24496,0.008119,0.008119,0.008119
21,7058.13,1.28219,1.90058,1.19751,0.53127,0.27118,0.29845,0.19896,1.22709,2.79851,1.23766,0.00802,0.00802,0.00802
22,7391.87,1.26841,1.85636,1.18814,0.57024,0.26954,0.30626,0.20749,1.20953,2.79423,1.22649,0.007921,0.007921,0.007921
23,7724.44,1.26458,1.82762,1.18514,0.57041,0.27323,0.30966,0.20921,1.21248,2.78832,1.23028,0.007822,0.007822,0.007822
24,8056.87,1.25435,1.79516,1.1759,0.60097,0.2667,0.31775,0.21471,1.20696,2.73796,1.22822,0.007723,0.007723,0.007723
25,8389.83,1.25219,1.77256,1.17579,0.60005,0.26893,0.33032,0.22606,1.20124,2.718,1.2202,0.007624,0.007624,0.007624
26,8724.66,1.2428,1.74433,1.16543,0.6002,0.2935,0.33868,0.22778,1.19627,2.65726,1.21992,0.007525,0.007525,0.007525
27,9056.21,1.23463,1.7056,1.16252,0.60042,0.29608,0.34476,0.2354,1.18718,2.66743,1.21182,0.007426,0.007426,0.007426
28,9389.01,1.22024,1.70031,1.15803,0.57077,0.31211,0.3482,0.23896,1.18567,2.65602,1.21052,0.007327,0.007327,0.007327
29,9722.71,1.21883,1.66663,1.15521,0.56185,0.31552,0.34819,0.23824,1.18197,2.63684,1.20677,0.007228,0.007228,0.007228
30,10055.8,1.22056,1.64939,1.15286,0.56529,0.31771,0.3542,0.24164,1.18495,2.62196,1.21004,0.007129,0.007129,0.007129
31,10388.8,1.21346,1.63808,1.15269,0.60766,0.31239,0.35894,0.24482,1.17684,2.6051,1.20093,0.00703,0.00703,0.00703
32,10722,1.19741,1.59062,1.14014,0.56896,0.32039,0.36342,0.24878,1.17152,2.57192,1.19842,0.006931,0.006931,0.006931
33,11055.9,1.20551,1.60517,1.13753,0.59157,0.31648,0.36961,0.25506,1.16774,2.5438,1.19431,0.006832,0.006832,0.006832
